'valeur', 'N', 'N/2', 'racine de N'
72291, 0.000002, 0.000000, 0.000001
72491, 0.000002, 0.000001, 0.000001
72691, 0.000002, 0.000002, 0.000002
72891, 0.000001, 0.000001, 0.000001
73091, 0.000509, 0.000256, 0.000004
73291, 0.000447, 0.000233, 0.000003
73491, 0.000000, 0.000001, 0.000000
73691, 0.000001, 0.000001, 0.000001
73891, 0.000001, 0.000000, 0.000001
74091, 0.000001, 0.000001, 0.000001
74291, 0.000000, 0.000001, 0.000001
74491, 0.000002, 0.000002, 0.000002
74691, 0.000001, 0.000001, 0.000001
74891, 0.000506, 0.000387, 0.000003
75091, 0.000002, 0.000002, 0.000001
75291, 0.000001, 0.000001, 0.000001
75491, 0.000001, 0.000000, 0.000001
75691, 0.000001, 0.000000, 0.000001
75891, 0.000001, 0.000001, 0.000001
76091, 0.000473, 0.000371, 0.000003
76291, 0.000001, 0.000000, 0.000001
76491, 0.000001, 0.000001, 0.000001
76691, 0.000001, 0.000001, 0.000001
76891, 0.000001, 0.000000, 0.000001
77091, 0.000001, 0.000001, 0.000001
77291, 0.000548, 0.000251, 0.000004
77491, 0.000511, 0.000691, 0.000005
77691, 0.000001, 0.000002, 0.000002
77891, 0.000002, 0.000002, 0.000001
78091, 0.000002, 0.000001, 0.000002
78291, 0.000001, 0.000001, 0.000001
78491, 0.000001, 0.000001, 0.000001
78691, 0.001105, 0.000730, 0.000006
78891, 0.000001, 0.000001, 0.000001
79091, 0.000003, 0.000004, 0.000004
79291, 0.000001, 0.000001, 0.000002
79491, 0.000001, 0.000001, 0.000001
79691, 0.001446, 0.000572, 0.000003
79891, 0.000001, 0.000000, 0.000001
80091, 0.000001, 0.000000, 0.000001
80291, 0.000001, 0.000001, 0.000001
80491, 0.000489, 0.000254, 0.000003
80691, 0.000000, 0.000001, 0.000000
80891, 0.000001, 0.000001, 0.000001
81091, 0.000002, 0.000001, 0.000001
81291, 0.000001, 0.000000, 0.000001
81491, 0.000001, 0.000001, 0.000001
81691, 0.000002, 0.000002, 0.000002
81891, 0.000001, 0.000001, 0.000001
82091, 0.000001, 0.000002, 0.000002
82291, 0.000001, 0.000001, 0.000001
82491, 0.000000, 0.000001, 0.000000
82691, 0.000001, 0.000001, 0.000001
82891, 0.000539, 0.000262, 0.000003
83091, 0.000001, 0.000001, 0.000001
83291, 0.000001, 0.000001, 0.000001
83491, 0.000001, 0.000001, 0.000001
83691, 0.000001, 0.000001, 0.000001
83891, 0.000509, 0.000330, 0.000004
84091, 0.000001, 0.000000, 0.000001
84291, 0.000001, 0.000000, 0.000001
84491, 0.000001, 0.000001, 0.000001
84691, 0.000514, 0.000267, 0.000002
84891, 0.000001, 0.000001, 0.000001
85091, 0.000516, 0.000268, 0.000003
85291, 0.000001, 0.000001, 0.000000
85491, 0.000001, 0.000001, 0.000001
85691, 0.000520, 0.000270, 0.000003
85891, 0.000001, 0.000001, 0.000000
86091, 0.000001, 0.000001, 0.000001
86291, 0.000523, 0.000271, 0.000003
86491, 0.000524, 0.000272, 0.000003
86691, 0.000001, 0.000000, 0.000001
86891, 0.000001, 0.000001, 0.000001
87091, 0.000000, 0.000001, 0.000001
87291, 0.000000, 0.000001, 0.000000
87491, 0.000552, 0.000320, 0.000004
87691, 0.000563, 0.000275, 0.000003
87891, 0.000001, 0.000000, 0.000001
88091, 0.000002, 0.000002, 0.000002
88291, 0.000001, 0.000001, 0.000001
88491, 0.000001, 0.000000, 0.000001
88691, 0.000001, 0.000001, 0.000001
88891, 0.000001, 0.000000, 0.000001
89091, 0.000001, 0.000001, 0.000001
89291, 0.000002, 0.000001, 0.000001
89491, 0.000637, 0.000324, 0.000003
89691, 0.000000, 0.000001, 0.000000
89891, 0.000565, 0.000282, 0.000003
90091, 0.000001, 0.000001, 0.000001
90291, 0.000001, 0.000001, 0.000001
90491, 0.000003, 0.000001, 0.000003
90691, 0.000002, 0.000002, 0.000001
90891, 0.000001, 0.000000, 0.000001
91091, 0.000001, 0.000000, 0.000001
91291, 0.000552, 0.000291, 0.000003
91491, 0.000001, 0.000001, 0.000001
91691, 0.000556, 0.000287, 0.000003
91891, 0.000001, 0.000002, 0.000001
92091, 0.000001, 0.000001, 0.000001
92291, 0.000001, 0.000001, 0.000001
92491, 0.000000, 0.000001, 0.000001
92691, 0.000001, 0.000001, 0.000001
92891, 0.000001, 0.000001, 0.000001
93091, 0.000002, 0.000001, 0.000002
93291, 0.000001, 0.000001, 0.000001
93491, 0.000565, 0.000292, 0.000003
93691, 0.000000, 0.000001, 0.000001
93891, 0.000001, 0.000001, 0.000001
94091, 0.000001, 0.000001, 0.000001
94291, 0.000570, 0.000295, 0.000003
94491, 0.000000, 0.000001, 0.000000
94691, 0.000001, 0.000001, 0.000001
94891, 0.000001, 0.000001, 0.000001
95091, 0.000001, 0.000001, 0.000001
95291, 0.000001, 0.000001, 0.000000
95491, 0.000001, 0.000001, 0.000001
95691, 0.000001, 0.000000, 0.000001
95891, 0.000635, 0.000299, 0.000003
96091, 0.000004, 0.000003, 0.000003
96291, 0.000001, 0.000000, 0.000001
96491, 0.000001, 0.000001, 0.000001
96691, 0.000001, 0.000001, 0.000001
96891, 0.000000, 0.000001, 0.000000
97091, 0.000002, 0.000002, 0.000002
97291, 0.000001, 0.000001, 0.000001
97491, 0.000001, 0.000001, 0.000001
97691, 0.000001, 0.000001, 0.000000
97891, 0.000001, 0.000001, 0.000001
98091, 0.000001, 0.000001, 0.000001
98291, 0.000002, 0.000003, 0.000003
98491, 0.000594, 0.000345, 0.000004
98691, 0.000001, 0.000001, 0.000001
98891, 0.000001, 0.000001, 0.000001
99091, 0.000004, 0.000002, 0.000003
99291, 0.000001, 0.000001, 0.000001
99491, 0.000001, 0.000001, 0.000002
99691, 0.000003, 0.000002, 0.000002
99891, 0.000001, 0.000001, 0.000001
100091, 0.000001, 0.000002, 0.000002
100291, 0.000810, 0.000312, 0.000004
100491, 0.000001, 0.000001, 0.000001
100691, 0.000001, 0.000001, 0.000001
100891, 0.000000, 0.000001, 0.000001
101091, 0.000001, 0.000001, 0.000001
101291, 0.000003, 0.000002, 0.000002
101491, 0.000001, 0.000001, 0.000001
101691, 0.000001, 0.000001, 0.000001
101891, 0.000760, 0.000316, 0.000004
102091, 0.000001, 0.000001, 0.000001
102291, 0.000001, 0.000001, 0.000001
102491, 0.000001, 0.000002, 0.000002
102691, 0.000002, 0.000002, 0.000002
102891, 0.000001, 0.000001, 0.000001
103091, 0.000623, 0.000320, 0.000003
103291, 0.000622, 0.000321, 0.000003
103491, 0.000001, 0.000001, 0.000001
103691, 0.000001, 0.000001, 0.000000
103891, 0.000001, 0.000001, 0.000001
104091, 0.000000, 0.000001, 0.000000
104291, 0.000001, 0.000001, 0.000001
104491, 0.000630, 0.000324, 0.000003
104691, 0.000000, 0.000001, 0.000001
104891, 0.000632, 0.000352, 0.000003
105091, 0.000001, 0.000001, 0.000001
105291, 0.000001, 0.000001, 0.000001
105491, 0.000675, 0.000379, 0.000005
105691, 0.000638, 0.000349, 0.000004
105891, 0.000001, 0.000001, 0.000001
106091, 0.000003, 0.000003, 0.000003
106291, 0.000707, 0.000329, 0.000005
106491, 0.000000, 0.000001, 0.000000
106691, 0.000001, 0.000001, 0.000001
106891, 0.000002, 0.000002, 0.000002
107091, 0.000001, 0.000001, 0.000001
107291, 0.000001, 0.000001, 0.000001
107491, 0.000001, 0.000001, 0.000001
107691, 0.000001, 0.000000, 0.000001
107891, 0.000001, 0.000001, 0.000001
108091, 0.000001, 0.000001, 0.000001
108291, 0.000000, 0.000001, 0.000000
108491, 0.000001, 0.000001, 0.000001
108691, 0.000001, 0.000001, 0.000000
108891, 0.000001, 0.000000, 0.000001
109091, 0.000001, 0.000001, 0.000001
109291, 0.000001, 0.000001, 0.000000
109491, 0.000001, 0.000001, 0.000001
109691, 0.000002, 0.000003, 0.000002
109891, 0.000683, 0.000340, 0.000003
110091, 0.000001, 0.000000, 0.000001
110291, 0.000845, 0.000372, 0.000003
110491, 0.000712, 0.000342, 0.000003
110691, 0.000001, 0.000000, 0.000001
110891, 0.000001, 0.000001, 0.000001
111091, 0.000668, 0.000348, 0.000003
111291, 0.000001, 0.000001, 0.000000
111491, 0.000671, 0.000368, 0.000004
111691, 0.000001, 0.000001, 0.000001
111891, 0.000001, 0.000001, 0.000001
112091, 0.000001, 0.000001, 0.000000
112291, 0.000676, 0.000562, 0.000004
112491, 0.000001, 0.000001, 0.000001
112691, 0.000936, 0.000451, 0.000003
112891, 0.000005, 0.000007, 0.000007
113091, 0.000001, 0.000001, 0.000001
113291, 0.000009, 0.000011, 0.000008
113491, 0.000001, 0.000001, 0.000001
113691, 0.000001, 0.000001, 0.000001
113891, 0.000950, 0.000589, 0.000005
114091, 0.000004, 0.000003, 0.000003
114291, 0.000001, 0.000000, 0.000001
114491, 0.000001, 0.000001, 0.000001
114691, 0.000691, 0.000430, 0.000004
114891, 0.000001, 0.000001, 0.000001
115091, 0.000001, 0.000001, 0.000001
115291, 0.000001, 0.000001, 0.000001
115491, 0.000001, 0.000000, 0.000001
115691, 0.000001, 0.000001, 0.000001
115891, 0.000945, 0.000398, 0.000004
116091, 0.000001, 0.000001, 0.000001
116291, 0.000001, 0.000001, 0.000001
116491, 0.000864, 0.000465, 0.000005
116691, 0.000001, 0.000001, 0.000001
116891, 0.000001, 0.000002, 0.000002
117091, 0.000001, 0.000001, 0.000001
117291, 0.000001, 0.000001, 0.000001
117491, 0.000001, 0.000001, 0.000001
117691, 0.000001, 0.000000, 0.000001
117891, 0.000001, 0.000001, 0.000001
118091, 0.000003, 0.000003, 0.000004
118291, 0.000001, 0.000002, 0.000001
118491, 0.000001, 0.000001, 0.000001
118691, 0.000923, 0.000519, 0.000005
118891, 0.001178, 0.001032, 0.000005
119091, 0.000001, 0.000001, 0.000000
119291, 0.001911, 0.000712, 0.000005
119491, 0.000001, 0.000001, 0.000000
119691, 0.000000, 0.000001, 0.000000
119891, 0.000849, 0.000502, 0.000004
120091, 0.000751, 0.000370, 0.000003
120291, 0.000001, 0.000001, 0.000001
120491, 0.000001, 0.000001, 0.000001
120691, 0.000748, 0.000371, 0.000004
120891, 0.000001, 0.000001, 0.000001
121091, 0.000001, 0.000001, 0.000000
121291, 0.000794, 0.000397, 0.000003
121491, 0.000001, 0.000000, 0.000001
121691, 0.000001, 0.000002, 0.000002
121891, 0.000000, 0.000001, 0.000001
122091, 0.000001, 0.000001, 0.000000
122291, 0.000001, 0.000001, 0.000001
122491, 0.000004, 0.000004, 0.000003
122691, 0.000001, 0.000001, 0.000001
122891, 0.000737, 0.000436, 0.000003
123091, 0.000762, 0.000378, 0.000004
123291, 0.000000, 0.000001, 0.000001
123491, 0.000763, 0.000380, 0.000004
123691, 0.000001, 0.000002, 0.000001
123891, 0.000001, 0.000001, 0.000000
124091, 0.000001, 0.000001, 0.000001
124291, 0.000771, 0.000663, 0.000004
124491, 0.000001, 0.000001, 0.000001
124691, 0.000001, 0.000001, 0.000001
124891, 0.000001, 0.000002, 0.000001
125091, 0.000001, 0.000001, 0.000001
125291, 0.000004, 0.000007, 0.000005
125491, 0.000001, 0.000002, 0.000001
125691, 0.000001, 0.000001, 0.000001
125891, 0.000001, 0.000002, 0.000001
126091, 0.000001, 0.000002, 0.000001
126291, 0.000001, 0.000001, 0.000001
126491, 0.001573, 0.001252, 0.000005
126691, 0.001953, 0.000409, 0.000004
126891, 0.000001, 0.000000, 0.000001
127091, 0.000001, 0.000001, 0.000001
127291, 0.000763, 0.000402, 0.000003
127491, 0.000001, 0.000001, 0.000001
127691, 0.000819, 0.000392, 0.000004
127891, 0.000001, 0.000001, 0.000000
128091, 0.000000, 0.000001, 0.000000
128291, 0.000787, 0.000394, 0.000004
128491, 0.000001, 0.000001, 0.000001
128691, 0.000001, 0.000000, 0.000001
128891, 0.000001, 0.000001, 0.000001
129091, 0.000002, 0.000003, 0.000002
129291, 0.000001, 0.000001, 0.000001
129491, 0.000776, 0.000397, 0.000003
129691, 0.000001, 0.000001, 0.000001
129891, 0.000001, 0.000001, 0.000001
130091, 0.000000, 0.000001, 0.000001
130291, 0.000001, 0.000001, 0.000000
130491, 0.000001, 0.000001, 0.000001
130691, 0.000001, 0.000000, 0.000001
130891, 0.000001, 0.000001, 0.000001
131091, 0.000001, 0.000001, 0.000001
131291, 0.000001, 0.000001, 0.000001
131491, 0.000001, 0.000001, 0.000001
131691, 0.000001, 0.000001, 0.000001
131891, 0.000808, 0.000655, 0.000004
132091, 0.000001, 0.000001, 0.000001
132291, 0.000001, 0.000001, 0.000001
132491, 0.000812, 0.000424, 0.000003
132691, 0.000001, 0.000001, 0.000001
132891, 0.000001, 0.000001, 0.000001
133091, 0.000001, 0.000000, 0.000001
133291, 0.000001, 0.000001, 0.000001
133491, 0.000000, 0.000001, 0.000000
133691, 0.000907, 0.000428, 0.000003
133891, 0.000002, 0.000002, 0.000002
134091, 0.000001, 0.000000, 0.000001
134291, 0.000822, 0.000429, 0.000004
134491, 0.000001, 0.000001, 0.000001
134691, 0.000001, 0.000001, 0.000000
